D_name,count,S_chn_ppp_20,S_road_dis,S_busdis,S_subdis,S_jun_dis,S_shp_Large volume,S_shp_country,S_shp_crowd,S_shp_empty,S_shp_road,S_shp_squire,S_fun_交通用地,S_fun_公共服务,S_fun_商业用地,S_fun_基础设施用地,S_fun_居住用地,S_fun_工业用地,S_fun_空地,S_fun_绿地,S_shpstd,S_funstd,S_junction_num,S_marketjoin,S_busjoin,S_length,bw_1,bw_2,bw=3,bw=4,bw=5,bw=6,bw=7,bw=8
东观园,189,30.3781,10.481902,88.481,316.225,86.3907,0.0,5.529666423997705,15.206899075391412,0.0,0.0,79.26343669835283,0.0,1.315973474821983,0.79975331827343,0.0,41.65130594220377,28.669443327250328,10.990834715875506,5.618271382496548,31.23412443965376,15.676933087564835,7.0,37,2,5042.816424820017,4.528181838,18.558353,47.15530905,93.04087441,147.4639123,203.4949244,257.8566991,309.164864
东贺安置B,121,30.3781,13.384419,57.9365,1526.0,43.7317,15.946934361899634,26.64522687911376,6.817476596018112,0.0,0.0,50.590364177014855,0.0,22.859944089812497,3.596800415118198,0.0,46.67905296701112,12.831174240725405,0.399788132916128,0.0,19.511376332185684,16.676950368190262,4.0,50,10,8111.651810140166,8.467344942,36.65705406,71.21311645,108.7966919,148.1905731,189.4836651,232.3947298,275.9119424
东贺安置小区,103,30.3781,2.407031,132.246,1920.0,135.748,38.12864840337212,0.0,0.0,0.0,0.0,61.871353741459615,0.0,21.92100516882016,0.0,0.0,54.079176298036806,1.509659833373054,0.0,0.957847657974106,26.889371523736816,19.41515257041994,3.0,92,2,4318.711028257191,13.71342049,44.0860646,83.31848439,125.7703684,169.9495794,216.0185179,263.0790725,309.6036041
两岸咖啡,695,26.005,13.280631,155.971,453.771,22.8347,11.69368275639528,0.0,63.45719847769531,0.0,0.0,24.849120984443235,1.123585210663922,14.132649032710724,21.818865010522813,0.0,30.46375800868926,0.0,2.822137341275967,2.431628660062416,24.957445094105825,11.69022278704237,46.0,978,16,15793.944612982836,26.44668027,82.76769273,141.6568925,197.7084215,252.5644376,306.5223501,358.431206,406.8374675
中国人民银行,1440,26.005,1.948044,168.549,570.115,12.6031,32.01972398551495,0.0,67.98027815030213,0.0,0.0,0.0,0.0,8.721100001387727,15.34055150944256,0.904346610269521,53.13497791789804,0.0,0.0,2.813774049579141,28.21316786055914,18.224988942344524,28.0,497,11,14301.927718192945,33.69903106,94.04086509,152.6313325,208.010635,262.4989244,316.5850396,368.7502624,417.2409532
中国电信大楼,577,28.0051,0.229477,76.1885,189.181,12.8732,58.978691297712494,0.0,41.02131064906314,0.0,0.0,0.0,2.44500395401308,8.557899955462263,22.39953066095133,24.72810376893513,9.7139249401028,0.0,2.071638948342765,2.992039522153674,26.436971169173752,9.52881697287821,24.0,576,11,12214.418931472404,24.44487505,74.85168451,134.923445,197.6217035,259.9105071,320.2088241,376.6513136,427.7518463
中国邮政,526,30.3781,15.610949,142.89,1824.82,77.9737,28.58999194667737,0.0,71.41000998220095,0.0,0.0,0.0,0.0,8.157794957916945,10.194882017884014,0.915601933395817,52.54673199624932,0.0,9.252215876083309,0.0,29.155138257969227,17.714397694215286,2.0,64,4,2508.9584559592354,7.341315982,32.42915248,74.64538041,130.6646819,191.8584046,252.6338429,310.1398804,362.9576777
中央公园6期,69,28.0051,112.090895,109.326,942.226,201.856,0.0,0.0,60.29679443548458,0.0,0.0,39.703207361659246,0.0,3.482023626405619,6.506367367854245,0.0,48.102618825007006,0.0,5.057529250354575,1.993600175961625,26.628486128304534,16.33329202351383,8.0,207,4,6625.757531913281,11.3009522,29.14036302,46.91950216,71.683848,104.7930773,146.1043558,193.6230842,244.0640557
中山饭店,218,26.005,17.601865,132.86,568.938,26.512,48.901615380887854,0.0,51.09838700042647,0.0,0.0,0.0,0.0,13.36268427642366,27.4457269151393,0.895135802468358,27.425779372106003,0.0,0.0,3.799466015884216,25.829233031051576,12.156207975835912,38.0,732,12,12637.070647750432,30.04226981,89.60098636,149.4816027,207.0766709,263.7846406,319.7227077,373.2148378,422.5112215
中悦星尚城,149,28.0051,9.274676,92.705,1948.6,212.589,0.0,4.249877303449847,50.41736753524374,0.0,45.33275777049155,0.0,0.0,0.144779557593554,0.0,0.0,67.17080600946329,0.0,0.0,16.09122691943074,24.283181750819985,23.607742914770707,8.0,44,2,6155.691599092889,6.100402575,21.79130783,36.19778321,48.99704534,66.40136513,92.13091945,126.3732624,167.1204616
中欧科技,2,30.3781,54.389284,107.577,2586.75,103.731,0.455514538135612,21.82458632977376,6.345878378869732,0.0,71.3740231107282,0.0,0.0,0.0,0.0,0.0,0.0,56.4930986968459,18.388421842796244,3.619941501897947,28.08691746746205,19.90117832794596,2.0,1,0,3359.817170060899,5.686232479,15.48440662,30.48438765,50.73213888,75.95198596,105.3987667,138.0772732,173.2220412
中级人民法院,190,26.005,12.273336,76.7035,238.171,57.6574,15.731321869576426,0.0,28.37048917550124,0.0,0.0,55.898191482136085,9.036313134618226,10.410913986795483,7.928785406192018,0.0,33.164895609569705,0.0,15.298293547954604,0.85477834574281,22.40669633787128,11.03462494537844,8.0,140,6,6939.0015943713215,19.9409741,57.1868625,99.9064378,144.5087165,189.8121148,235.532536,281.143515,325.7388133
中茵广场,28,28.0051,94.391863,209.611,1417.99,136.106,0.0,7.002450873829487,90.6923303281488,0.0,2.305220590362022,0.0,0.0,22.245959393546627,26.370731087889165,0.0,17.48346321203764,0.0,0.0,6.83570679714862,36.36696416845745,11.197841453754195,2.0,8,2,4813.384928322243,8.917721138,29.34134149,45.09261521,61.62463801,86.43802249,121.5065395,165.0012147,213.3869191
中茵广场北,185,28.0051,23.518635,3.7264,882.864,107.742,1.847411770226878,63.69201376906462,0.0,0.002148338069327,34.45842820089898,0.0,0.0,4.742327988596289,0.951056671433337,0.0,0.0,0.0,0.0,84.41709896475402,26.761173707284826,29.60369999505908,5.0,3,0,4338.827163817635,9.689840762,31.10870364,47.92634379,67.00120764,95.32674893,134.0191818,180.6254899,231.2367965
中铁十局,4,30.3781,21.933837,42.7792,2517.02,34.1255,0.0,0.0,22.96263786263174,0.0,77.03736424320971,0.0,0.0,0.0,0.0,0.0,3.808009364079812,36.844182674772426,32.246286608640226,11.113748059339532,30.96892471588238,15.367295276155913,2.0,1,4,3343.154461420157,5.974496805,15.11904094,29.71691424,49.96661222,75.62888165,105.7092823,139.0438017,174.8082249
丰禾回转,7,40.7616,2.921481,402.789,2157.46,157.876,54.340954010188,0.0,44.938327948194335,0.0,0.72072025656454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1630578793186,25.714763458786955,32.584561600677226,2.0,40,1,3307.3846859246546,3.98221675,19.29085348,46.45930162,82.69968027,128.0420336,180.0977778,234.9708679,289.2315093
丰财小区对面,881,30.3781,26.362216,22.7903,683.157,52.0848,83.30086917252437,0.0,16.69913309980381,0.0,0.0,0.0,1.471454980111151,3.560820615961329,10.16603764502186,0.0,42.244920534185056,25.978816669496688,0.0,1.100349969021205,33.320351465049235,15.5192572525465,7.0,493,14,7923.588656433185,15.4674836,60.75994565,119.6305187,184.0860755,248.4475513,309.909146,366.8918908,418.3487651
久隆凤凰城别墅区,41,40.7616,9.517665,174.092,2093.74,323.481,0.0,0.0,42.47578918756517,16.094150138108027,0.0,41.43006308670385,0.0,0.0,27.658053660392927,0.0,37.53033655594538,0.0,0.0,22.52105166548253,20.55722605831568,15.6710542447828,0.0,0,2,3417.8112459561808,5.39307658,22.51183644,44.7807721,68.89353508,96.29436601,128.5243505,165.0997082,204.4624929
久隆凤凰城北门,81,40.7616,20.571726,63.9693,1949.61,360.885,0.0,0.0,45.9198831696196,0.0,0.0,54.08011922475028,0.0,0.0,3.891490116090125,0.0,60.72663809262335,0.0,7.138791452661489,19.09886679363347,25.94851910686127,20.99915162917937,0.0,23,4,1837.3182217250885,7.538078063,29.28194316,55.41789644,82.93161545,114.4528929,151.0885273,191.5387293,233.8570495
久隆凤凰城西门,88,40.7616,16.611465,83.1137,2124.42,415.412,0.0,0.0,28.060219505022992,21.8068364646075,0.0,50.1329463941152,0.0,0.0,27.050831110231,0.0,44.369600514168006,0.0,0.0,19.695013968006847,20.54049465792509,17.11536250420844,0.0,0,3,3288.551353361051,5.498423171,23.10182086,45.65804624,70.07698694,97.90234144,130.608526,167.6080286,207.2945604
乔家湖1号出入口,35,28.0051,29.95607,105.201,49.1325,120.584,0.0,0.0,94.70735526646573,0.0,5.292646782785027,0.0,1.455957467355318,0.0,1.681310890788863,0.0,18.40195077518088,2.062881102086467,18.9314191623862,27.677074349309287,38.29054326217076,11.05868779984286,6.0,109,4,6878.179363270302,10.94480817,37.34343202,74.33924769,121.6343199,177.3077304,236.4404328,294.7667363,349.5397408
乔家湖3号出入口,111,28.0051,35.530996,123.629,99.8579,79.4054,0.0,0.0,100.00000225607975,0.0,0.0,0.0,0.0,0.0,6.067436648395759,0.0,18.496500897741345,1.533193561257799,18.952118708261416,27.265548473101862,40.824829967427,10.890357439148056,5.0,79,6,7837.448512685312,11.44523534,38.06392744,75.25572116,122.3138023,177.4232327,235.892397,293.6280653,347.9605562
乔家湖4号出入口,190,28.0051,32.338388,33.5663,136.873,175.721,0.0,0.0,77.35060211168273,0.0,22.64939997349748,0.0,0.0,0.0,5.088677536476935,0.0,29.48541314513825,0.0,18.902261876927465,22.18049421941398,31.078752323819728,12.124704692976696,6.0,121,3,7255.924408474875,11.70108367,38.15420092,75.45599474,123.1831904,179.4052732,239.0292656,297.6803972,352.6020331
九七医院西,378,28.0051,4.256907,39.3113,555.485,22.4717,66.20137149799965,0.0,10.733898455544944,0.0,0.0,23.064732460138163,0.0,9.592116781748375,3.977967350538562,46.797415838352165,24.64462670097228,0.0,0.628998601897806,0.0,25.935124062186794,16.855622334366895,1.0,101,2,3152.0948297568,6.255920275,38.78761251,95.97334867,166.3173171,239.9150621,310.4903032,374.587147,430.765251
九州学院东门,16,40.7616,23.279239,167.195,1169.79,42.8236,50.09551644763343,0.0,49.90448567020824,0.0,0.0,0.0,8.474480134504033,33.65853045664516,2.779671229485438,0.309735352521032,25.93758307239598,0.220592460847692,0.593348390264456,3.857393788889099,25.81996018936412,12.993270242673702,3.0,74,9,4471.872273217748,12.00384997,36.60991578,64.39885673,92.45694361,124.2856422,161.5662294,202.9484234,246.2343944
九州学院北门,56,40.7616,30.004751,284.726,1486.41,171.412,80.25536279781086,0.0,5.914101902072703,0.0,0.0,13.830537527493888,0.212829052230932,35.85407160017645,9.660057799865031,0.0,42.68781274322129,0.0,0.005565932234667,0.0,31.624411098084263,17.82396600395126,1.0,165,7,4093.680465581087,10.25172365,34.47608853,62.9085244,92.35670651,126.1289621,165.1484425,207.7240723,251.6905173
九州学院北门西,83,40.7616,19.568574,335.624,1662.6,38.5161,54.38502651422689,0.0,4.621232305569161,0.0,0.0,40.9937436463906,0.0,25.5657815031158,6.583649010136094,0.0,56.90014506287141,0.0,0.235201165437788,0.354717425479273,24.465923919804453,20.460262552617653,1.0,156,1,2812.339675900271,9.26342356,32.68343768,60.83634326,90.2673398,124.0828181,163.0492987,205.4773833,249.2636086
九里一中,42,30.3781,8.082002,35.019,3647.92,14.6088,32.55164314327278,0.0,67.44835885344965,0.0,0.0,0.0,0.454694902230082,25.898509948834345,2.647438581659457,0.0,25.403592108537246,0.0,10.254005579667483,13.810413256769882,28.079258715737552,11.016201820528837,37.0,45,2,8032.888555792223,3.503741118,14.89958138,42.18664245,81.19524036,123.4971454,166.6250323,210.4024465,254.3922783
九里小孤山村,11,30.3781,26.673948,168.803,4800.36,70.1533,18.45904593619105,0.326957676921543,73.30758833599141,0.0,0.0,7.906410939753979,0.553814414862552,38.11822094306091,10.938070463987174,0.0,11.997306801880574,0.0,10.031489739891652,10.913823360447122,28.67295016848605,12.448496727533463,3.0,5,3,3927.939430990542,4.791370429,10.89022067,25.36542311,53.84387216,90.81368724,131.5551147,174.2171946,217.7690986
九里岭秀,69,30.3781,19.899467,13.9849,3567.92,66.0482,48.51091383907416,0.0,51.48908874542683,0.0,0.0,0.0,0.944902759778343,13.625340353924662,1.794047858250355,0.0,48.91208580930312,0.0,0.0,15.447150123119195,25.8370596954058,16.929399446613775,13.0,40,5,7148.023894439496,3.121110539,16.31199003,47.06917118,88.96921442,133.2190612,177.8386326,222.7827196,267.5876225
九里工业技术学院,26,26.005,10.520615,12.0545,4450.05,18.5548,67.04742690985816,30.23301052932821,1.117659169671956,0.0,0.0,1.601905820933503,0.578506267640182,21.012405786430424,0.230272878018999,0.0,0.0,0.0,6.996203576265786,58.78077276519032,27.37349410476568,20.65656336744845,5.0,14,2,4126.76031195531,4.665653618,11.42804974,28.84418448,60.14688688,98.54575096,139.7750395,182.5138059,225.9782223
九里新苑幼儿园,89,30.3781,10.473853,94.0845,3345.64,140.569,55.25076247922305,4.37808825961397,0.0,0.0,40.37115155335374,0.0,0.0,10.417940154560291,0.977139637368579,0.0,43.872743513919005,3.107446416948489,0.0,23.912523777326133,24.63727885142887,15.898610896726536,10.0,65,6,7335.196998518772,1.391163887,4.623221144,12.04980758,29.50137283,58.67722557,96.19442322,138.3685989,182.6183147
九里梅园,68,30.3781,3.247642,49.2232,4337.25,143.924,89.70571816835614,0.125461792115594,10.168822005515713,0.0,0.0,0.0,0.796656450988059,34.73235511168319,11.807607685117784,0.0,1.181027705005751,0.0,1.715943796302759,41.423876139824905,36.01074789987595,16.97279820262198,3.0,11,5,4609.742465493852,3.131002494,9.878005495,22.65154259,49.14493584,85.46220375,126.6168258,170.0999692,214.4846167
